server_id,datid,relid,indexrelid,schemaname,relname,indexrelname,s_from,s_to,t_from,t_to,dt_sec,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_total,d_delay,d_tuples_deleted,d_pages_deleted,d_failsafe,phase,mode
1,28343,31352,31357,public,evs_index_window,ix_evs_index_window_rel,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31279,31284,public,evs_window,ix_evs_window_relname,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31358,31363,public,evs_window_with_indexes,ix_evs_window_with_indexes_rel,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31285,31290,public,evs_workload_profile,ix_evs_workload_profile_rel,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29388,29397,public,last_extension_versions,pk_last_extension_versions,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27779,27792,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29643,29656,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28778,28788,public,last_stat_io,pk_last_stat_io_samples,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29565,29577,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27701,27713,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,141,142,2026-04-26 11:25:53+03,2026-04-26 11:26:08+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
