phase_id,mode,phase_name,description,started_at,ended_at,sample_at_start,sample_at_end
20,broken,B-middle,cost_delay=100ms/limit=10 + middle DELETE,2026-04-26 11:25:53+03,2026-04-26 11:27:23+03,141,147
21,broken,C-border,per-table autovacuum starved + border DELETE,2026-04-26 11:27:40+03,2026-04-26 11:29:10+03,148,154
22,broken,D-sparse,per-table freeze postponed + sparse DELETE,2026-04-26 11:29:26+03,2026-04-26 11:30:57+03,155,161
33,broken,F-xidburn,autovacuum_freeze_max_age=100000 + xid burn,2026-04-26 11:55:30+03,2026-04-26 11:57:03+03,232,238
35,broken,A-sparse,maintenance_work_mem=64kB + sparse DELETE,2026-04-26 13:53:36+03,2026-04-26 13:59:39+03,246,269
36,broken,E-sparse,per-table vacuum_index_cleanup=off + sparse,2026-04-26 14:00:08+03,2026-04-26 14:01:40+03,270,276
