t_from,t_to,schemaname,relname,d_total,d_delay,delay_share,d_tuples_deleted,d_pages_scanned,d_blks_dirty,d_wal_bytes
2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,public,pgbench_accounts,32497.618,32140,0.989,14,1989,1,231020
2026-04-26 01:45:22+03,2026-04-26 01:46:08+03,public,pgbench_accounts,1587.226999999988,810.330000000009,0.511,4392,41726,0,314474
