server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples,d_idx_tuples_deleted,d_idx_pages_deleted,d_idx_blks_dirty,d_idx_blks_read,d_idx_blks_hit,d_idx_wal_records,d_idx_wal_bytes,d_idx_total_time,d_idx_failsafe,n_indexes,phase,mode
1,28343,31752,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,evs_delete_index_window_labeled,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31747,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,evs_delete_window_labeled,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31715,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,evs_index_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,31688,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,evs_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,31721,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,evs_window_with_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,31694,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,evs_workload_profile,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,28990,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,fixed
1,26479,27126,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29388,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,last_extension_versions,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,29697,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,last_stat_activity_count_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
